,date,VOL,CIKS,SHROUT,PRC,VOLP,ACCESSION NUMBER,base_vol,base_volP,T0,T1,T3,T5,T20,T60,T0P,T1P,T3P,T5P,T20P,T60P,T0PP,T1PP,T3PP,T5PP,T20PP,T60PP,d4,abnormal,Year,Unnamed: 0,mkt_cap, ,PB_ratios
906,20080221,673800.0,0000036270,106752.0,84.92,6.311825539568345,0000950152-08-001291,1249996.4166666667,11.704137186872874,673800.0,812700.0,800600.0,626900.0,1738566.6666666667,979033.3333333334,6.311825539568345,7.612972122302159,7.499625299760192,5.872489508393276,15.805151515151506,8.893269262795174,-0.4607184247081825,-0.34954862534927256,-0.359232963522367,-0.49825523961050777,0.3503901451939787,-0.24016019969676303,799275.0,-0.3605781669907454,2008,MTB US,6331.519438705444,,1.02
907,20120223,442200.0,0000036270,125626.0,82.11,3.519971980322545,0001193125-12-075161,767050.0,6.1055444516497435,442200.0,403500.0,425700.0,584466.6666666666,660366.6666666666,547800.0,3.519971980322545,3.211914731027017,3.388629742250808,4.630695618876071,5.224171848382698,4.333038030753628,-0.4234794278876417,-0.4739347561118576,-0.44499138953362527,-0.24155893785609284,-0.14435610292361306,-0.29031095178042254,493500.0,-0.3566260348086826,2012,MTB US,12604.741480255127,,1.35
908,20130225,952700.0,0000036270,128234.0,101.86,7.429386902069654,0001193125-13-071824,751251.6666666666,5.867604665645365,952700.0,757400.0,741700.0,631833.3333333334,569233.3333333334,472733.3333333333,7.429386902069654,5.906389880998799,5.761805992526821,4.90832019182712,4.422019726501276,3.664627891172256,0.26617032424976983,0.0066100593962167675,-0.018030981831136626,-0.16348825943145487,-0.246367133015614,-0.37544737588942667,685500.0,-0.0875228230220232,2013,MTB US,15161.281951904297,,1.51
909,20140221,770200.0,0000036270,130564.0,113.51,5.89902270151037,0001193125-14-062812,1004200.0,7.708223125023237,770200.0,724000.0,658800.0,754700.0,1113554.0,769087.3333333334,5.89902270151037,5.5451732483686165,5.0458012928525475,5.772887245960468,8.49833628426641,5.8516433210835315,-0.23471043769343575,-0.2806158879382595,-0.34540020300238305,-0.2510741902086462,0.10250263211481575,-0.2408570397907506,731300.0,-0.2717586138219478,2014,MTB US,16595.895960998536,,1.5
910,20150220,1243000.0,0000036270,132112.0,121.34,9.408683541237737,0001193125-15-056342,745978.9,5.647195906632651,1243000.0,468106.0,659616.0,737158.3333333334,880515.6666666666,835555.0,9.408683541237737,3.543251180816277,4.992854547656534,5.570669601632301,6.624752030776997,6.284920193161105,0.6660805994329339,-0.37256450114388334,-0.11587013622240212,-0.013551204219862344,0.1731046948444277,0.11292760107356031,737990.0,-0.01070928413658888,2015,MTB US,21542.198702697755,,1.29
911,20160219,714828.0,0000036270,133290.0,107.05,5.362952959711906,0001193125-16-469957,1132611.9666666666,8.49735138920149,714828.0,579372.0,1040429.0,1442143.6666666667,1321183.0,524170.6666666667,5.362952959711906,4.3467026783704705,7.805754370170305,10.819593868007074,8.304365316320409,3.2966915934481484,-0.36886769605324377,-0.48846381898549013,-0.08138971631914303,0.2732901550660491,-0.022711320744759404,-0.6120330391847025,1066173.0,-0.05865995470823052,2016,MTB US,24254.25476654053,,1.6
912,20170222,929017.0,0000036270,155049.0,168.03,5.9917638939948015,0001564590-17-002016,963411.0833333334,6.213981424565476,929017.0,877627.0,991343.0,1027871.6666666666,1072428.0,1083426.3333333333,5.9917638939948015,5.66032028584512,6.393740043470129,6.654921537810291,6.956049088031523,7.046125397258941,-0.035760893924174086,-0.08909925873476068,0.028928090804073065,0.07095935489952791,0.11941903471620653,0.1339147827838341,1042181.25,0.08176174016405073,2017,MTB US,25736.62260333,,1.71
913,20180222,642677.0,0000036270,150515.0,189.5,4.269853502973126,0001564590-18-002855,631129.6,4.189275161713015,642677.0,524673.0,507133.0,695358.6666666666,602429.6666666666,493965.0,4.269853502973126,3.485851908447663,3.3693186725575526,4.627732986828131,4.011464249962796,3.3649071178958736,0.019234435111004262,-0.16791049193763594,-0.19572753221112793,0.10466197807255725,-0.04244431432322309,-0.19678059138995616,609704.5,-0.033947227320664373,2018,MTB US,20089.39702848,,1.39
914,20190220,843778.0,0000036270,138534.0,176.0,6.0907647220177,0001564590-19-003467,957756.25,6.808696102314914,843778.0,872176.0,661274.0,832545.0,790360.3333333334,662039.6666666666,6.0907647220177,6.295754110904182,4.773369714293964,6.009679934167759,5.705501734933008,4.845244455503729,-0.10544329920278306,-0.0753363028254903,-0.29893042036770473,-0.11735230301665164,-0.16202725908222387,-0.2883741053068331,796698.75,-0.1681612623253568,2019,MTB US,22400.224259,,1.53
915,20200220,538913.0,0000036270,130589.0,169.53,4.126787095390883,0001564590-20-005365,597964.4833333333,4.536067459832467,538913.0,826584.0,1083758.0,1166054.3333333333,1669650.3333333333,995860.0,4.126787095390883,6.329660231719364,8.298999150004978,8.929192606830055,12.800434948161412,7.663350031935089,-0.09022801536040218,0.3954069880506452,0.8295581411638636,0.968487613092033,1.8219234086598384,0.6894259399347916,923733.5,0.5447965987054584,2020,MTB US,16331.6500168,,1.09
